FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-46,-49,-50,-47,-65,-40,-35,-53,-45,-69,-65,-15,-21,-44,-58,-28,-48,5,-37,-25,-40,-42,-39
-46,-43,-54,-42,-58,-32,-39,-44,-32,-60,-70,-15,-21,-37,-48,-20,-39,7,-21,-16,-28,-45,-32
-47,-33,-52,-33,-49,-20,-42,-30,-12,-46,-69,-14,-23,-31,-35,-11,-26,12,-5,-5,-11,-42,-37
-44,-21,-46,-20,-38,-7,-42,-11,7,-28,-61,-14,-26,-22,-21,1,-12,20,10,7,7,-34,-45
-34,-8,-36,-2,-23,4,-35,9,20,-7,-48,-15,-28,-11,-7,16,0,31,25,21,23,-23,-48
-22,3,-26,14,-6,11,-24,24,25,11,-35,-19,-29,-3,5,27,8,42,37,33,32,-14,-42
-14,7,-24,23,4,9,-16,30,17,18,-31,-27,-35,-2,11,32,8,44,42,33,28,-12,-31
-13,2,-31,22,7,-3,-13,23,-1,14,-37,-40,-46,-11,8,29,-4,32,37,20,14,-21,-19
-15,-6,-38,16,5,-17,-10,9,-20,6,-42,-49,-58,-22,1,21,-21,11,25,1,1,-35,-11
-16,-11,-41,10,3,-27,-4,-7,-32,-1,-40,-49,-65,-31,-4,13,-37,-11,12,-16,-7,-45,-6
-17,-15,-43,3,2,-35,0,-21,-37,-7,-33,-41,-70,-34,-10,7,-48,-30,0,-28,-16,-48,-1
-18,-19,-45,-6,3,-40,1,-34,-42,-9,-24,-31,-72,-33,-16,1,-52,-43,-9,-36,-29,-44,7
-16,-21,-44,-14,7,-40,-1,-43,-45,-6,-14,-19,-67,-29,-19,-3,-47,-48,-15,-40,-45,-34,22
-14,-23,-40,-21,12,-36,-3,-46,-49,-2,-7,-6,-57,-23,-20,-10,-35,-46,-17,-42,-58,-19,49
-13,-26,-33,-28,12,-30,-9,-45,-56,0,-4,1,-46,-22,-21,-22,-25,-41,-18,-45,-67,-8,79
-13,-29,-22,-33,6,-25,-14,-40,-61,-2,-3,3,-34,-26,-23,-34,-17,-36,-21,-49,-65,-3,103
-9,-26,-3,-33,-1,-18,-13,-31,-60,-5,2,4,-17,-27,-23,-40,-13,-33,-23,-50,-51,0,118
-2,-19,19,-27,-8,-8,-7,-19,-50,-5,12,6,3,-23,-23,-39,-8,-29,-22,-47,-31,3,131
6,-11,35,-19,-14,3,-1,-9,-36,-4,21,8,21,-14,-21,-35,-1,-26,-18,-42,-16,5,145
13,-2,44,-8,-17,15,4,-1,-20,1,28,10,37,-2,-16,-30,11,-21,-9,-36,-8,8,165
19,7,47,5,-17,25,8,9,-3,8,32,13,55,9,-7,-26,30,-14,3,-28,-3,15,194
21,15,45,19,-16,34,9,21,11,15,30,18,75,15,4,-23,50,-3,15,-16,4,25,228
19,22,42,30,-14,40,7,33,25,20,23,21,95,15,14,-19,66,11,26,1,14,35,255
15,28,41,37,-10,45,7,46,39,21,13,24,111,11,23,-11,76,25,37,21,31,44,262
11,34,45,40,-1,52,8,59,54,21,4,25,122,10,30,5,82,37,49,43,52,54,244
5,37,45,41,7,59,9,68,65,18,-5,22,118,12,32,23,80,44,61,62,69,65,202
-3,32,35,39,14,62,8,70,68,13,-14,14,97,14,29,36,69,45,69,71,76,72,144
-14,21,17,34,21,57,7,66,64,7,-17,3,63,14,22,42,52,41,72,71,72,74,79
-24,8,-4,29,26,46,6,57,57,1,-16,-7,30,10,15,43,36,36,72,65,60,74,20
-34,-4,-25,23,29,28,5,43,47,-6,-13,-16,2,3,7,41,18,28,62,53,43,67,-30
-43,-15,-42,13,31,7,5,25,36,-14,-13,-27,-20,-7,0,34,0,16,42,38,23,48,-69
-46,-23,-49,2,34,-8,10,10,28,-19,-14,-36,-36,-13,-3,27,-14,1,20,24,9,20,-97
-39,-24,-43,-6,38,-16,19,0,22,-21,-16,-41,-45,-13,0,23,-23,-13,0,12,2,-6,-116
-29,-24,-33,-10,37,-19,27,-9,15,-21,-21,-41,-49,-12,3,19,-29,-25,-18,-1,-2,-27,-128
-21,-25,-24,-15,31,-21,31,-17,7,-21,-29,-39,-50,-13,4,12,-37,-34,-32,-15,-6,-40,-135
-14,-27,-17,-20,20,-25,32,-23,0,-23,-32,-32,-47,-17,3,7,-43,-37,-38,-28,-13,-44,-136
-9,-27,-8,-24,7,-30,31,-29,-3,-30,-30,-19,-41,-23,2,5,-47,-35,-37,-34,-22,-37,-136
-10,-28,-2,-28,-10,-33,26,-37,-6,-42,-27,-7,-35,-30,-3,1,-50,-32,-38,-34,-33,-28,-142
-16,-30,1,-32,-25,-31,18,-42,-9,-54,-26,0,-32,-37,-10,-7,-51,-30,-42,-26,-41,-21,-155
-21,-30,4,-35,-36,-23,10,-40,-9,-59,-25,6,-28,-37,-14,-18,-45,-27,-45,-11,-39,-13,-170
