Time,O2
9.12109375,25
9.125,27
9.12890625,31
9.1328125,41
9.13671875,54
9.140625,58
9.14453125,50
9.1484375,39
9.15234375,33
9.15625,30
9.16015625,28
9.1640625,29
9.16796875,34
9.171875,39
9.17578125,44
9.1796875,51
9.18359375,61
9.1875,68
9.19140625,68
9.1953125,60
9.19921875,51
9.203125,45
9.20703125,38
9.2109375,29
9.21484375,16
9.21875,1
9.22265625,-16
9.2265625,-38
9.23046875,-57
9.234375,-67
9.23828125,-68
9.2421875,-62
9.24609375,-49
9.25,-35
9.25390625,-25
9.2578125,-24
9.26171875,-27
9.265625,-29
9.26953125,-23
9.2734375,-8
9.27734375,10
9.28125,26
9.28515625,37
9.2890625,37
9.29296875,28
9.296875,13
9.30078125,-5
9.3046875,-21
9.30859375,-33
9.3125,-39
9.31640625,-42
9.3203125,-45
9.32421875,-48
9.328125,-47
9.33203125,-37
9.3359375,-25
9.33984375,-13
9.34375,-1
9.34765625,5
9.3515625,-4
9.35546875,-26
9.359375,-45
9.36328125,-53
9.3671875,-51
9.37109375,-43
9.375,-34
9.37890625,-29
9.3828125,-31
9.38671875,-42
9.390625,-53
9.39453125,-57
9.3984375,-51
9.40234375,-41
9.40625,-35
9.41015625,-34
9.4140625,-41
9.41796875,-53
9.421875,-64
9.42578125,-70
9.4296875,-65
9.43359375,-50
9.4375,-26
9.44140625,-2
9.4453125,15
9.44921875,25
9.453125,28
9.45703125,24
9.4609375,15
9.46484375,5
9.46875,-6
9.47265625,-15
9.4765625,-21
9.48046875,-24
9.484375,-25
9.48828125,-22
9.4921875,-16
9.49609375,-11
9.5,-13
9.50390625,-23
9.5078125,-37
9.51171875,-53
9.515625,-66
9.51953125,-69
9.5234375,-59
9.52734375,-38
9.53125,-16
9.53515625,-2
9.5390625,7
9.54296875,14
9.546875,19
9.55078125,16
9.5546875,7
9.55859375,-5
9.5625,-19
9.56640625,-38
9.5703125,-60
9.57421875,-75
9.578125,-78
9.58203125,-69
9.5859375,-54
9.58984375,-37
9.59375,-24
9.59765625,-19
9.6015625,-21
9.60546875,-25
9.609375,-28
9.61328125,-29
9.6171875,-26
9.62109375,-21
9.625,-16
9.62890625,-11
9.6328125,-4
9.63671875,2
9.640625,4
9.64453125,-1
9.6484375,-8
9.65234375,-16
9.65625,-24
9.66015625,-33
9.6640625,-43
9.66796875,-52
9.671875,-55
9.67578125,-51
9.6796875,-46
9.68359375,-41
9.6875,-37
9.69140625,-31
9.6953125,-26
9.69921875,-22
9.703125,-17
9.70703125,-8
9.7109375,-1
9.71484375,-2
9.71875,-8
9.72265625,-10
9.7265625,-5
9.73046875,4
9.734375,16
9.73828125,29
9.7421875,37
9.74609375,32
9.75,17
9.75390625,3
9.7578125,-3
9.76171875,-3
9.765625,-1
9.76953125,0
9.7734375,-1
9.77734375,-1
9.78125,2
9.78515625,7
9.7890625,12
9.79296875,17
9.796875,18
9.80078125,12
9.8046875,1
9.80859375,-7
9.8125,-11
9.81640625,-9
9.8203125,1
9.82421875,19
9.828125,38
9.83203125,49
9.8359375,49
9.83984375,36
9.84375,18
9.84765625,3
9.8515625,-4
9.85546875,-4
9.859375,0
9.86328125,8
9.8671875,15
9.87109375,20
9.875,22
9.87890625,24
9.8828125,26
9.88671875,29
9.890625,33
9.89453125,38
9.8984375,42
9.90234375,45
9.90625,46
9.91015625,46
9.9140625,48
9.91796875,57
9.921875,70
9.92578125,80
9.9296875,84
9.93359375,82
9.9375,78
9.94140625,66
9.9453125,47
9.94921875,22
9.953125,-3
9.95703125,-23
9.9609375,-34
9.96484375,-32
9.96875,-20
9.97265625,-8
9.9765625,-5
9.98046875,-12
9.984375,-22
9.98828125,-27
9.9921875,-21
9.99609375,-2
10.0,21
10.00390625,37
10.0078125,41
10.01171875,35
10.015625,19
10.01953125,-5
10.0234375,-28
10.02734375,-41
10.03125,-38
10.03515625,-27
10.0390625,-13
10.04296875,-4
10.046875,-5
10.05078125,-20
10.0546875,-42
10.05859375,-59
10.0625,-60
10.06640625,-47
10.0703125,-26
10.07421875,-5
10.078125,10
10.08203125,16
10.0859375,11
10.08984375,-1
10.09375,-16
10.09765625,-31
10.1015625,-44
10.10546875,-54
